"","TOC","BD_fine","depth"
"246",1.234,1.17,70
"247",1.305,1.06,100
"248",3.868,1.05,10
"249",0.215,1.67,100
"250",1.442,1.17,30
"251",1.27,1.22,50
"252",1.516,1.12,70
"253",1.908,0.96,100
"254",0.556,1.57,50
"255",0.196,1.66,85
"256",0.388,1.7,93
"257",0.193,1.71,100
"258",2.566,1.43,10
"259",2.414,1.47,30
"260",0.144,1.59,70
"261",0.139,1.58,80
"262",0.24,1.65,50
"263",0.049,1.66,70
"264",0.064,1.63,100
"265",1.379,1.53,40
"266",0.138,1.6,50
"267",0.079,1.63,70
"268",0.039,1.66,100
"269",0.117,1.61,70
"270",0.176,1.66,100
"271",6.374,0.99,10
"272",1.817,0.85,100
"273",7.714,0.91,10
"274",1.968,1.39,30
"275",1.153,1.35,50
"276",1.172,1.24,70
"277",4.466,0.76,90
"278",3.715,1.01,50
"279",0.223,1.58,70
"280",5.343,0.91,10
"281",4.757,1,100
"282",1.409,1.46,30
"283",0.423,1.44,50
"284",0.153,1.44,70
"285",0.115,1.46,100
"286",0.271,1.5,50
"287",0.09,1.48,70
"288",0.067,1.7,100
"289",0.296,1.55,50
"290",0.16,1.6,58
"291",0.155,1.69,70
"292",0.174,1.69,88
"293",0.065,1.53,100
"294",2.82,1.07,30
"295",0.495,1.41,70
"296",0.23,1.52,100
"297",3.697,0.57,30
"298",5.858,0.46,50
"299",1.404,0.82,100
"300",4.751,1.07,70
"301",0.411,1.58,50
"302",0.138,1.54,70
"303",0.074,1.53,100
"304",5.178,1.16,50
"305",0.359,1.62,70
"306",1.207,1.22,90
"307",0.365,0.96,70
"308",0.082,1.51,100
"309",0.256,1.6,70
"310",0.128,1.65,100
"311",1.912,1.32,10
"312",0.821,1.44,50
"313",0.233,1.55,50
"314",0.192,1.55,85
"315",0.957,1.49,10
"316",0.247,1.64,50
"317",0.058,1.57,70
"318",0.988,0.99,50
"319",0.453,0.83,70
"320",0.622,1.28,100
"321",7.687,0.44,100
"322",1.127,1.42,100
"323",0.582,1.64,50
"324",0.347,1.66,70
"325",0.12,1.6,100
"326",1.253,1.13,90
"327",2.438,0.77,100
"328",0.178,1.34,50
"329",0.142,1.56,70
"330",4.927,1.16,10
"331",0.105,1.59,100
"332",0.185,1.73,50
"333",0.22,1.77,70
"334",0.092,1.73,100
"335",0.859,1.41,70
"336",1.406,1.35,10
"337",1.268,1.54,30
"338",0.041,1.7,100
"339",0.437,1.43,50
"340",0.211,1.41,70
"341",0.151,1.46,84
"342",0.051,1.69,100
"343",0.378,1.35,88
"344",0.174,1.5,100
"345",0.031,1.43,100
"346",2.06,1.02,10
