"","TOC","BD_fine","depth"
"2515",2.413,1.15,30
"2516",1.085,1.37,70
"2517",0.725,1.38,100
"2518",1.891,1.17,45
"2519",2.612,1.28,20
"2520",2.501,1.24,30
"2521",1.178,1.22,10
"2522",1.899,1.35,30
"2523",1.141,1.41,10
"2524",1.193,1.31,30
"2525",1.577,1.24,100
"2526",1.653,1.21,10
"2527",0.049,1.49,100
"2528",0.239,1.45,70
"2529",1.496,1.19,50
"2530",5.144,1.1,10
"2531",0.822,1.28,70
"2532",3.632,1.17,10
"2533",2.65,1.37,70
"2534",1.989,1.29,80
"2535",0.793,1.6,100
"2536",0.263,1.54,100
"2537",2.15,1.43,30
"2538",2.207,1.54,50
"2539",0.545,1.54,50
"2540",0.379,1.52,70
"2541",5.445,0.94,10
"2542",0.479,1.4,50
"2543",1.77,1.47,10
"2544",1.653,1.51,30
"2545",1.099,1.34,50
"2546",0.803,1.46,30
"2547",0.337,1.69,50
"2548",1.843,1.44,70
"2549",0.567,1.66,50
"2550",0.609,1.46,50
"2551",1.498,1.14,10
"2552",1.59,1.19,100
"2553",0.598,1.58,50
"2554",1.229,1.47,30
"2555",0.33,1.57,70
"2556",0.247,1.4,100
"2557",0.684,1.49,50
"2558",0.2,1.27,100
"2559",0.205,1.57,50
"2560",0.799,1.6,50
"2561",0.888,1.48,20
"2562",1.099,1.61,30
"2563",0.822,1.47,70
"2564",0.173,1.56,70
"2565",0.211,1.52,100
"2566",0.194,1.52,70
"2567",0.295,1.51,50
"2568",0.322,1.64,70
"2569",0.136,1.56,100
"2570",0.515,1.55,30
"2571",1.256,1.56,30
"2572",0.211,1.56,70
"2573",0.188,1.7,100
"2574",1.27,1.5,10
"2575",5.626,1,10
"2576",0.16,1.65,100
"2577",0.788,1.37,100
"2578",0.591,1.45,70
"2579",2.926,1.08,10
"2580",0.213,1.46,80
"2581",0.236,1.4,100
"2582",1.335,1.46,30
"2583",0.193,1.49,100
"2584",0.504,1.54,100
"2585",0.36,1.63,70
"2586",0.999,1.31,10
"2587",0.996,1.57,30
"2588",0.541,1.43,100
"2589",0.246,1.46,100
"2590",0.501,1.36,90
"2591",0.266,1.41,70
"2592",0.225,1.57,100
"2593",0.282,1.45,100
"2594",0.436,1.47,100
"2595",0.915,1.36,60
"2596",0.031,1.71,100
"2597",0.149,1.44,100
"2598",0.188,1.62,100
"2599",1.755,1.11,10
"2600",0.396,1.42,70
"2601",1.07,1.59,30
"2602",1.019,1.51,30
"2603",0.168,1.57,70
"2604",0.706,1.53,50
"2605",0.071,1.75,100
"2606",0.116,1.56,100
"2607",0.254,1.63,100
"2608",0.261,1.62,100
"2609",0.282,1.58,70
"2610",0.334,1.56,100
"2611",1.406,1.26,10
"2612",2.495,1.28,50
"2613",0.305,1.5,100
"2614",1.058,1.42,30
"2615",0.265,1.5,100
"2616",0.36,1.64,50
"2617",1.185,1.5,30
"2618",0.214,1.67,100
"2619",0.254,1.53,50
"2620",0.225,1.55,100
"2621",0.742,1.52,50
"2622",0.153,1.47,100
"2623",0.499,1.56,70
"2624",0.389,1.32,60
"2625",2.142,1.05,50
"2626",0.335,1.56,90
"2627",2.858,1.41,10
"2628",7.583,0.8,10
"2629",4.536,1.27,10
"2630",0.107,1.56,50
"2631",2.383,1.13,10
"2632",2.366,1.34,30
"2633",0.69,1.67,50
"2634",1.554,1.23,10
"2635",2.226,1.31,30
"2636",1.472,1.11,10
"2637",2.572,1.15,10
"2638",0.812,1.35,50
"2639",0.757,1.54,30
"2640",0.213,1.44,100
"2641",1.685,1.37,10
"2642",1.283,1.4,10
"2643",0.092,1.78,70
"2644",0.241,1.3,70
"2645",0.12,1.7,100
"2646",0.688,1.69,70
"2647",2.475,1.39,10
"2648",0.21,1.6,70
"2649",0.059,1.61,100
"2650",0.827,1.46,70
"2651",1.705,1.3,30
"2652",0.078,1.68,100
"2653",0.066,1.66,80
"2654",3.843,1.05,10
"2655",0.35,1.45,70
"2656",2.725,1.46,30
"2657",1.5,1.26,30
"2658",1.334,1.39,10
"2659",0.286,1.79,100
"2660",0.208,1.4,100
"2661",2.297,1.47,30
"2662",0.977,1.37,50
"2663",1.28,1.33,10
"2664",0.231,1.57,100
"2665",0.13,1.66,70
"2666",0.089,1.62,100
"2667",0.268,1.28,70
"2668",1.517,1.4,10
"2669",1.304,1.3,50
"2670",0.733,1.49,50
"2671",1.368,1.55,30
"2672",0.162,1.64,92
"2673",0.143,1.5,70
"2674",1.096,1.58,70
"2675",2.392,1.15,10
"2676",1.183,1.3,28
"2677",0.172,1.51,90
"2678",0.608,1.24,50
"2679",1.187,1.29,30
"2680",1.558,1.55,30
"2681",1.582,1.24,20
"2682",0.177,1.58,88
"2683",1.569,1.38,10
"2684",1.543,1.41,40
"2685",2.352,1.1,22
"2686",0.276,1.57,70
"2687",3.085,1.22,10
"2688",0.272,1.62,90
"2689",0.182,1.54,70
"2690",0.092,1.63,100
"2691",1.437,1.29,30
"2692",1.109,1.26,10
"2693",1.085,1.52,30
"2694",2.139,1.18,10
"2695",0.456,1.44,70
"2696",0.983,1.37,50
"2697",1.063,1.38,50
"2698",0.155,1.55,100
"2699",0.408,1.51,70
"2700",0.313,1.54,50
"2701",0.973,1.35,50
"2702",2.222,1.38,10
"2703",0.373,1.55,100
"2704",2.249,1.09,10
"2705",0.37,1.47,50
"2706",0.449,1.53,50
"2707",0.224,1.47,70
"2708",0.188,1.58,70
"2709",0.138,1.58,100
"2710",0.286,1.4,100
"2711",0.158,1.61,50
"2712",0.275,1.62,50
"2713",1.106,1.4,10
"2714",0.665,1.31,50
"2715",0.368,1.53,50
"2716",0.136,1.63,100
"2717",1.414,1.18,10
"2718",0.474,1.46,50
"2719",0.847,1.39,70
"2720",0.326,1.57,70
"2721",2.9,1.25,10
"2722",0.592,1.43,50
"2723",1.497,1.29,30
"2724",0.242,1.6,70
"2725",0.419,1.26,100
"2726",0.052,1.6,50
"2727",0.393,1.48,70
"2728",0.347,1.6,50
"2729",1.118,1.59,30
"2730",0.399,1.55,50
"2731",1.066,1.68,30
"2732",1.899,1.39,23
"2733",0.278,1.46,70
"2734",0.255,1.51,85
"2735",0.84,1.36,30
"2736",2.422,1.02,10
"2737",0.18,1.54,100
"2738",0.264,1.55,70
"2739",0.562,1.54,70
"2740",0.453,1.52,70
"2741",5.751,0.74,10
"2742",0.154,1.25,100
"2743",0.587,1.54,50
"2744",0.464,1.53,50
"2745",0.184,1.84,82
"2746",0.474,1.53,70
"2747",0.053,1.4,100
"2748",0.11,1.72,100
"2749",5.487,0.9,10
"2750",2.294,1.24,30
"2751",0.468,1.48,50
"2752",0.405,1.44,70
"2753",5.821,0.87,10
"2754",0.408,1.53,42
"2755",0.231,1.56,70
"2756",1.005,1.33,70
"2757",2.145,1.11,50
"2758",0.657,1.58,70
"2759",5.153,0.81,10
"2760",1.672,1.13,10
"2761",4.219,1.2,10
"2762",4.045,1.38,30
"2763",0.608,1.47,50
"2764",1.605,0.93,30
"2765",2.494,1.49,30
"2766",1.155,1.63,40
"2767",1.681,1.36,10
"2768",0.158,1.54,70
"2769",0.304,1.68,70
"2770",0.426,1.37,70
"2771",0.215,1.51,100
"2772",2.064,1.26,10
"2773",3.57,0.89,70
"2774",0.064,1.65,100
"2775",0.412,1.38,100
"2776",0.385,1.48,70
"2777",0.078,1.58,50
"2778",3.192,1.26,10
"2779",0.705,1.58,50
"2780",0.771,1.54,30
"2781",0.511,1.46,70
"2782",0.46,1.62,50
"2783",2.766,1.31,30
"2784",0.385,1.6,50
"2785",0.591,1.55,50
"2786",1.235,1.59,10
"2787",3.573,1.15,30
"2788",4.772,1.12,10
"2789",4.083,1.18,30
"2790",0.067,1.59,100
"2791",0.348,1.57,50
"2792",2.041,1.16,10
"2793",0.498,1.63,50
"2794",0.123,1.62,100
"2795",0.19,1.7,100
"2796",0.592,1.48,40
"2797",1.487,1.5,50
"2798",0.131,1.71,100
"2799",0.1,1.64,70
"2800",0.296,1.46,100
"2801",1.617,1.62,30
"2802",0.342,1.47,50
"2803",2.537,1.14,50
"2804",0.342,1.61,50
"2805",0.478,1.48,50
"2806",1.546,1.56,30
"2807",2.939,1.25,30
"2808",0.266,1.26,100
"2809",0.43,1.24,50
"2810",0.293,1.45,70
"2811",3.135,1.3,30
"2812",1.61,1.35,70
"2813",3.17,1.08,10
"2814",2.681,1.27,50
"2815",0.055,1.78,70
"2816",1.61,1.47,30
"2817",0.317,1.49,70
"2818",1.611,1.35,39
"2819",1.999,1.28,10
"2820",0.104,1.64,100
"2821",2.128,1.37,30
"2822",0.204,1.6,80
"2823",1.801,1.25,10
"2824",1.108,1.42,90
"2825",3.217,1.17,10
"2826",0.196,1.58,70
"2827",0.657,1.4,70
"2828",1.17,1.32,10
"2829",1.415,1.38,10
"2830",0.468,1.44,50
"2831",1.785,1.32,30
"2832",0.786,1.57,40
"2833",1.333,1.29,30
"2834",1.831,1.32,50
"2835",0.389,1.35,80
"2836",0.502,1.31,70
"2837",1.553,1.15,70
"2838",3.716,0.94,10
"2839",0.398,1.44,70
"2840",1.496,1.45,30
"2841",0.153,1.63,100
"2842",0.184,1.64,70
"2843",0.357,1.69,50
"2844",0.296,1.61,60
"2845",0.57,1.57,100
"2846",0.154,1.59,70
"2847",3.828,1.03,10
"2848",5.418,0.91,10
"2849",1.484,1.38,10
"2850",0.45,1.35,85
"2851",0.655,1.45,40
"2852",1.254,1.23,30
"2853",2.808,1.12,30
"2854",1.107,1.48,100
"2855",0.404,1.44,50
"2856",2.554,1.23,30
"2857",3.004,1.26,10
"2858",0.747,1.2,70
"2859",0.916,1.47,30
"2860",0.814,1.44,70
"2861",1.643,1.25,10
"2862",0.152,1.67,100
"2863",0.699,1.46,100
"2864",0.145,1.5,100
"2865",1.229,1.45,10
"2866",0.182,1.5,100
"2867",0.478,1.51,50
"2868",0.289,1.47,50
"2869",0.244,1.7,50
"2870",0.221,1.55,70
"2871",5.66,0.79,10
"2872",0.375,1.47,70
"2873",0.243,1.61,50
"2874",0.096,1.73,80
"2875",0.577,1.43,70
"2876",3.532,1.13,20
"2877",0.275,1.37,85
"2878",0.575,1.58,100
"2879",0.363,1.48,70
"2880",0.158,1.6,100
"2881",3.451,1.02,30
"2882",5.146,0.8,10
"2883",2.365,1.53,30
"2884",0.106,1.53,70
"2885",0.491,1.43,50
"2886",0.488,1.37,70
"2887",0.027,1.72,100
"2888",0.09,1.54,100
"2889",0.304,1.52,70
"2890",4.215,0.24,70
"2891",0.606,1.39,70
"2892",1.743,1.53,30
"2893",1.55,1.42,30
"2894",0.268,1.59,50
"2895",0.37,1.73,70
"2896",1.9,1.47,30
"2897",0.124,1.81,50
"2898",4.535,1.29,30
"2899",2.652,1.56,30
"2900",0.079,1.76,100
"2901",0.735,1.62,50
"2902",2.262,1.49,10
"2903",0.987,1.43,50
"2904",0.444,1.4,70
"2905",2.458,1.27,50
"2906",2.038,1,10
"2907",0.565,1.21,70
"2908",1.306,1.42,30
"2909",0.554,1.65,40
"2910",2.421,1.49,30
"2911",1.32,1.66,100
"2912",0.966,1.39,50
"2913",0.081,1.76,100
"2914",1.412,1.31,10
"2915",6.658,0.88,38
"2916",0.335,1.73,50
"2917",0.036,1.54,70
"2918",1.809,1.16,100
"2919",1.568,1.43,50
"2920",1.514,1.29,10
"2921",0.373,1.31,100
"2922",0.31,1.57,50
"2923",2.044,1.33,10
"2924",1.894,1.36,30
"2925",1.132,1.28,20
"2926",0.502,1.46,50
"2927",0.292,1.41,70
"2928",0.318,1.63,50
"2929",2.09,1.41,30
"2930",2.265,1.04,10
"2931",1.317,1.34,10
"2932",1.105,1.35,50
"2933",0.553,1.45,50
"2934",0.685,1.35,70
"2935",0.816,1.45,30
"2936",0.804,1.62,70
"2937",0.217,1.51,70
"2938",0.458,1.37,70
"2939",0.763,1.33,70
"2940",1.442,1.45,30
"2941",0.305,1.52,50
"2942",0.371,1.14,90
"2943",0.333,1.51,70
"2944",2.234,1.18,10
"2945",0.259,1.62,70
"2946",0.939,1.56,30
"2947",1.306,1.54,30
"2948",0.288,1.44,100
"2949",1.913,1.44,30
"2950",1.353,1.39,10
"2951",1.017,1.36,10
"2952",1.602,1.12,10
"2953",1.455,1.44,30
"2954",1.645,1.29,10
"2955",0.877,1.58,40
"2956",0.489,1.56,50
"2957",0.977,1.46,10
"2958",0.348,1.47,80
"2959",0.697,1.71,30
"2960",0.278,1.73,50
"2961",0.41,1.41,100
"2962",0.081,1.61,100
"2963",0.178,1.59,100
"2964",0.288,1.55,70
"2965",6.321,0.77,10
"2966",0.304,1.2,70
"2967",0.57,1.52,50
"2968",0.323,1.56,70
"2969",3.148,1.06,10
"2970",0.262,1.51,50
"2971",3.512,1,10
"2972",1.295,1.44,50
"2973",0.422,1.56,70
"2974",3.241,1.05,10
"2975",0.953,1.36,10
"2976",0.324,1.51,50
"2977",1.412,1.5,30
"2978",0.213,1.48,70
"2979",4.458,1.16,10
"2980",0.305,1.49,70
"2981",0.055,1.59,70
"2982",0.201,1.54,50
"2983",0.315,1.52,70
"2984",0.336,1.5,50
"2985",1.883,1.32,30
"2986",1.589,1.47,10
"2987",0.327,1.62,60
"2988",1.188,1.55,30
"2989",0.95,1.33,10
"2990",0.152,1.53,70
"2991",0.332,1.52,70
"2992",0.108,1.41,100
"2993",0.22,1.53,70
"2994",0.253,1.44,60
"2995",0.693,1.51,50
"2996",0.148,1.37,100
"2997",0.404,1.56,50
"2998",0.512,1.51,50
"2999",5.153,1.08,10
"3000",6.449,0.79,10
"3001",0.101,1.56,90
"3002",0.174,1.47,70
"3003",1.255,1.38,50
"3004",0.237,1.51,50
"3005",0.323,1.6,100
"3006",0.634,1.54,50
"3007",1.696,1.4,10
"3008",0.854,1.57,30
"3009",0.212,1.65,50
"3010",0.1,1.59,70
"3011",1.619,1.56,30
"3012",1.078,1.46,70
"3013",0.933,1.5,37
"3014",0.275,1.58,100
"3015",0.202,1.53,70
"3016",0.762,1.24,50
"3017",0.109,1.6,100
"3018",0.057,1.32,100
"3019",3.435,1.42,40
"3020",1.305,1.45,40
"3021",2.049,1.41,10
"3022",7.204,0.87,50
"3023",2.902,1.46,70
"3024",0.047,1.72,100
"3025",2.037,0.86,70
"3026",1.931,1.3,10
"3027",1.496,1.48,30
"3028",2.776,1.41,30
"3029",1.705,1.44,30
"3030",0.501,1.4,50
"3031",0.091,1.65,70
"3032",0.021,1.55,100
"3033",4,1.05,30
"3034",0.228,1.8,50
"3035",0.985,1.41,10
"3036",0.025,1.82,90
"3037",8.487,0.72,10
"3038",0.14,1.61,70
"3039",0.272,1.7,100
"3040",0.147,1.74,100
"3041",1.333,1.15,10
"3042",1.9,1.36,30
"3043",2.04,1.26,10
"3044",0.211,1.66,100
"3045",1.27,1.37,30
"3046",0.172,1.43,100
"3047",0.239,1.43,100
"3048",1.992,1.19,10
"3049",0.143,1.69,70
"3050",1.637,1.18,10
"3051",0.22,1.53,70
"3052",1.733,1.26,10
"3053",0.285,1.33,70
"3054",1.313,1.22,10
"3055",0.414,1.51,50
"3056",1.054,1.22,15
"3057",0.804,1.42,50
"3058",1.65,1.49,37
"3059",2.11,1.39,30
"3060",0.841,1.57,30
"3061",1.934,1.16,10
"3062",1.812,1.4,30
"3063",2.607,1.27,30
"3064",0.695,1.67,50
"3065",0.229,1.52,70
"3066",0.506,1.48,70
"3067",0.929,1.54,50
"3068",0.891,1.53,50
"3069",0.141,1.73,50
"3070",1.045,1.47,50
"3071",0.355,1.37,70
"3072",5.079,1.08,10
"3073",1.032,1.34,30
"3074",0.745,1.65,70
"3075",0.084,1.67,70
"3076",0.118,1.65,70
"3077",0.914,1.33,30
"3078",0.635,1.25,70
"3079",1.553,1.25,30
"3080",2.81,1.07,10
"3081",0.219,1.67,100
"3082",0.112,1.65,100
"3083",2.643,1.33,30
"3084",1.514,1.38,37
"3085",1.349,1.37,10
"3086",1.219,1.5,70
"3087",1.82,1.09,10
"3088",1.823,1.1,10
"3089",1.473,1.34,30
"3090",0.361,1.55,100
"3091",2.616,1.48,30
"3092",1.18,1.53,30
"3093",0.703,1.57,50
"3094",0.636,1.52,50
"3095",1.66,1.1,10
"3096",0.3,1.61,60
"3097",0.492,1.5,60
"3098",0.339,1.51,80
"3099",1.012,1.43,50
"3100",2.521,1.2,30
"3101",1.925,1.22,10
"3102",0.771,1.51,50
"3103",0.562,1.47,70
"3104",3.021,1.1,10
"3105",0.298,1.58,70
"3106",1.742,1.21,50
"3107",1.641,1.47,30
"3108",0.726,1.42,100
"3109",5.021,1.06,23
"3110",4.522,1.09,10
"3111",1.343,1.25,50
"3112",0.194,1.6,70
"3113",0.161,1.71,100
"3114",0.03,1.67,100
"3115",1.434,1.35,10
"3116",0.085,1.43,70
"3117",1.288,1.49,50
"3118",0.119,1.62,70
"3119",6.514,0.79,100
"3120",0.951,1.38,10
"3121",0.654,1.46,70
"3122",0.403,1.48,50
"3123",0.295,1.31,70
"3124",2.239,1.41,70
"3125",3.635,1.09,100
"3126",7.935,0.66,10
"3127",2.179,1.02,10
"3128",5.147,0.93,10
"3129",0.171,1.62,100
"3130",0.63,1.65,50
"3131",2.2,0.91,30
"3132",6.354,1.48,38
"3133",0.769,0.64,50
"3134",1.65,1.43,30
"3135",1.795,1.26,10
"3136",0.164,1.65,70
"3137",1.897,1.12,10
"3138",0.035,1.75,70
"3139",0.108,1.71,100
"3140",0.048,1.65,100
"3141",0.072,1.82,80
"3142",1.263,1.23,10
"3143",0.571,1.45,85
"3144",0.09,1.7,50
"3145",0.754,1.57,50
"3146",1.318,1.45,30
"3147",0.623,1.54,40
"3148",1.619,1.41,50
"3149",0.025,1.56,100
"3150",1.757,1.53,30
"3151",1.34,1.36,30
"3152",1.575,1.14,10
"3153",0.487,1.47,70
"3154",0.441,1.56,70
"3155",0.387,1.43,50
"3156",2.792,1.32,42
"3157",1.319,1.53,30
"3158",3.743,1.17,60
"3159",2.486,1.26,10
"3160",2.226,1.03,10
"3161",0.325,1.44,70
"3162",0.5,1.5,50
"3163",2.17,1.31,10
"3164",1.692,1.61,10
"3165",0.713,1.56,42
"3166",1.468,1.36,30
"3167",1.146,1.38,30
"3168",0.826,1.4,50
"3169",1.332,1.29,20
"3170",1.498,1.26,50
"3171",4.123,1.06,10
"3172",0.662,1.53,40
"3173",1.033,1.4,100
"3174",0.34,1.56,100
"3175",1.731,1.13,10
"3176",0.826,1.64,30
"3177",1.452,1.48,10
"3178",4.042,0.85,20
"3179",1.256,1.38,10
"3180",1.708,1.22,50
"3181",1.101,1.35,10
"3182",0.148,1.77,50
"3183",0.06,1.69,100
"3184",0.506,1.55,50
"3185",0.1,1.76,50
"3186",0.568,1.51,50
"3187",0.473,1.55,70
"3188",1.158,1.34,30
"3189",0.225,1.61,70
"3190",1.39,1.11,10
"3191",1.003,1.6,50
"3192",0.485,1.49,70
"3193",2.387,1.17,10
"3194",1.161,1.34,30
"3195",0.197,1.44,70
"3196",4.825,0.94,10
"3197",0.277,1.6,100
"3198",1.36,1.26,10
"3199",1.031,1.37,70
"3200",0.538,1.61,70
"3201",1.179,1.23,10
"3202",3.376,1.21,10
"3203",0.52,1.52,50
"3204",1.547,1.28,10
"3205",0.201,1.61,70
"3206",0.393,1.48,100
"3207",6.177,1.03,10
"3208",0.541,1.52,30
"3209",0.25,1.59,70
"3210",0.19,1.58,100
"3211",0.24,1.33,100
"3212",0.49,1.48,50
"3213",0.667,1.46,50
"3214",2.081,1.32,30
"3215",0.417,1.52,50
"3216",0.2,1.41,70
"3217",1.827,1.21,50
"3218",0.519,1.54,100
"3219",0.303,1.43,90
"3220",0.178,1.76,70
"3221",0.161,1.68,100
"3222",3.055,1.12,10
"3223",5.431,0.94,10
"3224",0.228,1.59,100
"3225",7.288,0.8,10
"3226",0.344,1.52,70
"3227",6.653,0.72,10
"3228",0.473,1.59,50
"3229",0.301,1.54,70
"3230",6.277,0.92,10
"3231",0.391,1.55,50
"3232",0.173,1.68,70
"3233",0.043,1.39,100
"3234",1.6,1.3,30
"3235",0.583,1.47,50
"3236",2.137,1.39,10
"3237",1.316,1.45,30
"3238",0.551,1.54,50
"3239",1.372,1.38,40
"3240",1.087,1.15,10
"3241",0.091,1.62,70
"3242",3.206,1.12,30
"3243",0.137,1.55,50
"3244",0.19,1.69,50
"3245",3.26,1.21,20
"3246",0.052,1.61,100
"3247",6.398,0.98,10
"3248",0.155,1.63,70
"3249",0.107,1.52,70
"3250",0.347,1.42,50
"3251",3.177,1.35,30
"3252",2.339,1.4,30
"3253",2.319,1.35,10
"3254",2.005,1.45,30
"3255",3.059,1.34,50
"3256",5.163,1.05,80
"3257",1.207,1.4,40
"3258",2.024,1.37,30
"3259",0.474,1.77,40
"3260",0.031,1.41,100
"3261",0.625,1.53,50
"3262",0.371,1.74,42
"3263",0.069,1.63,70
"3264",1.954,1.48,30
"3265",0.538,1.41,70
"3266",0.359,1.48,80
"3267",2.825,1.43,30
"3268",3.445,1.01,25
"3269",0.129,1.67,50
"3270",0.533,1.38,70
"3271",0.562,1.45,50
"3272",4.62,1.03,40
"3273",0.073,1.77,50
"3274",0.908,1.56,70
"3275",0.674,1.46,50
"3276",0.253,1.45,88
"3277",1.911,1.26,30
"3278",3.445,1.07,10
"3279",0.762,1.48,50
"3280",0.329,1.38,50
"3281",1.204,1.46,70
"3282",1.667,1.33,30
"3283",0.146,1.54,100
"3284",1.268,1.38,30
"3285",1.245,1,10
"3286",0.189,1.55,100
"3287",0.555,1.53,50
"3288",1.959,1.48,30
"3289",1.978,1.49,70
"3290",0.123,1.7,100
"3291",0.459,1.55,50
"3292",0.466,1.26,70
"3293",0.414,1.58,50
"3294",0.222,1.49,100
"3295",4.949,0.99,10
"3296",0.399,1.35,10
"3297",0.511,1.42,100
"3298",0.237,1.62,50
"3299",0.095,1.58,100
"3300",1.335,1.38,10
"3301",0.3,1.67,50
"3302",3.138,1.2,10
"3303",1.264,1.3,39
"3304",0.074,1.83,70
"3305",1.074,1.61,30
"3306",0.334,1.55,50
"3307",1.748,1.42,70
"3308",2.085,1.25,10
"3309",1.141,1.34,10
"3310",1.387,1.28,10
"3311",0.269,1.58,70
"3312",0.339,1.81,50
"3313",1.118,1.4,10
"3314",1.833,1.3,30
"3315",0.131,1.59,100
"3316",6.065,0.73,10
"3317",0.16,1.56,70
"3318",0.994,1.52,50
"3319",0.882,1.45,70
"3320",1.946,1.31,30
"3321",1.279,1.28,10
"3322",2.098,1.37,30
"3323",0.376,1.5,50
"3324",5.261,1.15,10
"3325",1.375,1.16,10
"3326",4.707,1.02,10
"3327",0.19,1.65,100
"3328",0.207,1.4,100
"3329",0.093,1.59,100
"3330",1.79,0.73,10
"3331",0.26,1.66,50
"3332",4.045,1.14,30
"3333",0.725,1.54,50
"3334",5.146,0.93,30
"3335",0.491,1.22,62
"3336",5.046,1.09,10
"3337",0.113,1.72,50
"3338",4.081,1.08,70
"3339",0.134,1.58,100
"3340",1.439,1.46,19
"3341",0.642,1.59,50
"3342",0.312,1.48,100
"3343",0.014,1.41,100
"3344",0.028,1.66,100
"3345",0.829,1.57,50
"3346",1.028,1.55,50
"3347",1.228,1.15,10
"3348",0.701,1.36,30
"3349",7.309,0.69,10
"3350",0.203,1.59,60
"3351",0.03,1.47,100
"3352",1.7,1.4,30
"3353",1.519,1.39,10
"3354",1.461,1.51,30
"3355",0.605,1.56,50
"3356",1.901,1.3,10
"3357",1.276,1.29,70
"3358",1.787,1.4,30
"3359",1.713,1.23,10
"3360",0.087,1.77,80
"3361",1.614,1.38,30
"3362",0.163,1.72,100
"3363",1.478,1.54,30
"3364",1.369,1.52,50
"3365",0.184,1.48,70
"3366",0.32,1.71,70
"3367",0.231,1.75,85
"3368",3.363,1.39,30
"3369",0.183,1.59,70
"3370",2.144,1.33,22
"3371",0.061,1.76,70
"3372",2.707,1.35,10
"3373",1.07,1.56,40
"3374",2.012,1.43,30
"3375",3.032,1.25,10
"3376",0.072,1.56,100
"3377",1.057,1.29,10
"3378",2.439,1.29,20
"3379",0.06,1.7,100
"3380",0.826,1.59,50
"3381",1.531,1.49,38
"3382",1.013,1.3,70
"3383",2.514,1.42,30
"3384",0.367,1.61,100
"3385",1.159,1.58,50
"3386",0.999,1.36,10
"3387",0.615,1.42,70
"3388",1.815,1.4,30
"3389",0.932,1.55,38
"3390",0.213,1.54,100
"3391",1.487,1.2,10
"3392",1.558,1.13,10
"3393",1.226,1.49,50
"3394",1.171,1.46,10
"3395",1.438,1.2,10
"3396",1.173,1.15,10
"3397",1.369,1.41,30
"3398",1.242,1.58,10
"3399",0.299,1.43,50
"3400",0.695,1.46,55
"3401",3.07,1.34,20
"3402",1.843,1.18,10
"3403",0.64,1.46,50
"3404",0.194,1.54,70
"3405",0.276,1.52,50
"3406",0.891,1.48,36
"3407",1.238,1.52,50
"3408",0.758,1.49,70
"3409",1.774,1.34,30
"3410",0.555,1.45,70
"3411",0.098,1.54,85
"3412",0.357,1.53,30
"3413",0.535,1.44,90
"3414",0.313,1.55,100
"3415",0.611,1.46,50
"3416",1.455,1.35,10
"3417",1.199,1.38,30
"3418",0.84,1.42,30
"3419",0.419,1.6,30
"3420",0.383,1.5,50
"3421",0.675,1.39,70
"3422",0.983,1.48,100
"3423",1.152,1.24,70
"3424",0.983,1.45,50
"3425",0.246,1.42,100
"3426",0.951,1.55,37
"3427",0.099,1.7,100
"3428",2.699,1.38,30
"3429",1.278,1.49,30
"3430",0.485,1.46,70
"3431",5.292,0.87,20
"3432",1.709,1.47,30
"3433",3.839,1.03,10
"3434",3.4,1.01,10
"3435",2.988,1.07,22
"3436",3.934,1.2,39
"3437",0.187,1.6,50
"3438",1.905,1.32,50
"3439",1.049,1.24,10
"3440",1.255,1.27,10
"3441",1.186,1.15,10
"3442",1.205,1.4,30
"3443",0.475,1.24,85
"3444",4.719,0.84,10
"3445",1.879,1.3,10
"3446",2.006,1.22,10
"3447",3.892,1.07,10
"3448",5.849,0.83,10
"3449",0.041,1.69,70
"3450",1.077,1.27,30
"3451",1.13,1.52,30
"3452",0.128,1.57,70
"3453",1.646,1.26,70
"3454",1.027,1.47,70
"3455",2.972,1.25,30
"3456",0.032,1.69,100
"3457",1.761,1.45,30
"3458",0.141,1.55,85
"3459",1.408,1.26,10
"3460",0.284,1.62,90
"3461",1.942,1.3,30
"3462",0.802,1.61,40
"3463",0.14,1.52,100
"3464",0.701,1.47,70
"3465",0.583,1.66,50
"3466",1.364,1.53,30
"3467",0.506,1.53,50
"3468",0.929,1.38,60
"3469",0.158,1.54,100
"3470",0.156,1.48,90
"3471",1.957,1.22,10
"3472",0.757,1.56,70
"3473",0.407,1.52,70
"3474",2.252,1.17,10
"3475",1.237,1.5,30
"3476",2.18,1.18,10
"3477",1.487,1.3,10
"3478",2.426,1.18,10
"3479",1.747,1.36,30
"3480",1.107,1.38,10
"3481",1.306,1.49,30
"3482",0.931,1.41,70
"3483",2.482,1.15,20
"3484",1.458,1.25,10
"3485",1.087,1.28,10
"3486",1.551,1.35,50
"3487",1.042,1.43,30
"3488",1.394,1.45,10
"3489",3.505,1.13,10
"3490",0.873,1.57,20
"3491",0.162,1.59,80
"3492",0.287,1.59,50
"3493",1.264,1.54,18
"3494",0.432,1.73,70
"3495",3.959,1.12,10
"3496",0.176,1.55,100
"3497",3.795,1.12,10
"3498",0.248,1.64,100
"3499",0.353,1.53,50
"3500",1.318,1.45,50
"3501",0.33,1.62,50
"3502",0.103,1.76,70
"3503",1.284,1.41,10
"3504",0.074,1.72,100
"3505",0.241,1.55,70
"3506",0.281,1.47,100
"3507",4.86,0.9,10
"3508",1.265,1.38,50
"3509",0.47,1.45,100
"3510",4.12,1.04,10
"3511",0.346,1.52,50
"3512",0.466,1.47,60
"3513",0.883,1.26,30
