depth increment	TOC	BD_fine	BD_all	Steingehalt
100	0.172	1.44	1.44	0
100	0.094	1.7	1.7	0
100	1.204	1.44	1.44	0
100	0.087	1.54	1.54	0
50	0.132	1.62	1.62	0
70	0.145	1.55	1.55	0
100	0.317	1.43	1.46	0
30	2.3	1.47	1.47	0
70	0.153	1.67	1.67	0
100	0.168	1.71	1.71	0
100	0.402	1.65	1.65	0
70	1.132	1.67	1.67	0
30	3.22	1.12	1.12	0
50	1.504	1.05	1.05	0
70	0.804	1.13	1.13	0
100	0.953	0.92	0.92	0
100	0.131	1.46	1.48	0
85	0.034	1.59	1.59	0
70	0.262	1.7	1.7	0
80	0.062	1.68	1.68	0
100	0.017	1.57	1.57	0
30	2.757	1.17	1.17	0
70	0.506	1.49	1.49	0
100	0.125	1.59	1.59	0
10	2.248	1.2	1.21	0
30	1.409	1.59	1.59	0
39	0.804	1.6	1.6	0
50	0.646	1.56	1.56	0
100	0.495	1.33	1.33	0
70	0.039	1.51	1.51	0
100	0.051	1.54	1.54	0
50	0.119	1.68	1.68	0
100	0.229	1.37	1.39	0
30	2.614	1.37	1.38	0
43	0.466	1.6	1.6	0
70	0.184	1.72	1.72	0
50	0.228	1.59	1.59	0
100	1.206	1.4	1.4	0
10	3.561	1.32	1.32	0
30	3.38	1.45	1.45	0
41	4.748	1.29	1.29	0
50	1.207	1.58	1.58	0
70	0.392	1.64	1.64	0
86	0.282	1.7	1.7	0
100	0.165	1.71	1.71	0
30	2.962	1.25	1.25	0
50	1.52	1.28	1.28	0
70	1.234	1.17	1.17	0
100	1.305	1.06	1.06	0
10	3.868	1.05	1.07	0
100	0.215	1.67	1.67	0
30	1.442	1.17	1.17	0
50	1.27	1.22	1.22	0
70	1.516	1.12	1.12	0
100	1.908	0.96	0.96	0
50	0.556	1.57	1.57	0
85	0.196	1.66	1.66	0
93	0.388	1.7	1.7	0
100	0.193	1.71	1.71	0
10	2.566	1.43	1.44	0
30	2.414	1.47	1.47	0
70	0.144	1.59	1.59	0
80	0.139	1.58	1.58	0
50	0.24	1.65	1.65	0
70	0.049	1.66	1.66	0
100	0.064	1.63	1.63	0
40	1.379	1.53	1.53	0
50	0.138	1.6	1.6	0
70	0.079	1.63	1.63	0
100	0.039	1.66	1.66	0
70	0.117	1.61	1.61	0
100	0.176	1.66	1.66	0
10	6.374	0.99	1	0
100	1.817	0.85	0.87	0
10	7.714	0.91	0.91	0
30	1.968	1.39	1.39	0
50	1.153	1.35	1.35	0
70	1.172	1.24	1.24	0
90	4.466	0.76	0.76	0
50	3.715	1.01	1.03	0
70	0.223	1.58	1.58	0
10	5.343	0.91	0.91	0
100	4.757	1	1	0
30	1.409	1.46	1.46	0
50	0.423	1.44	1.44	0
70	0.153	1.44	1.44	0
100	0.115	1.46	1.46	0
50	0.271	1.5	1.51	0
70	0.09	1.48	1.49	0
100	0.067	1.7	1.71	0
50	0.296	1.55	1.55	0
58	0.16	1.6	1.6	0
70	0.155	1.69	1.69	0
88	0.174	1.69	1.69	0
100	0.065	1.53	1.53	0
30	2.82	1.07	1.07	0
70	0.495	1.41	1.41	0
100	0.23	1.52	1.52	0
30	3.697	0.57	0.58	0
50	5.858	0.46	0.46	0
100	1.404	0.82	0.82	0
70	4.751	1.07	1.07	0
50	0.411	1.58	1.58	0
70	0.138	1.54	1.54	0
100	0.074	1.53	1.53	0
50	5.178	1.16	1.16	0
